exerciseId,exerciseName,videoUrl,channel,durationMin,coversRungs,description,verifiedDate,notes
G-01,Back squat (barbell),https://www.youtube.com/watch?v=7v_V6xiA_AA,Squat University,3.25,,"Stand with the bar across your upper traps, feet shoulder-width apart. Break at the hips and knees together, sitting down and back while keeping your chest tall and knees tracking over your toes, then drive through mid-foot to stand. This is the foundation lower-body strength movement that builds the leg drive and ground force production that power the golf swing.",2026-07-06,
G-02,Trap bar deadlift,https://www.youtube.com/watch?v=TU2xZ7s4jus,Alan Thrall,7.33,,"Stand inside the trap bar with a neutral grip on the handles, hips back and chest up. Drive through the floor and extend your hips and knees together to stand tall, keeping the bar close to your body throughout. It trains hip-hinge strength with a more upright torso than a barbell deadlift, building the posterior-chain power that underpins swing speed.",2026-07-06,
G-03,Romanian deadlift (barbell),https://www.youtube.com/watch?v=5bJEigM5iVg,Squat University,7.18,,"Hold the bar at hip height and push your hips back while keeping a soft knee bend and a flat back, lowering the bar down the front of your legs until you feel a hamstring stretch. Reverse the motion by driving your hips forward to standing. This builds hip-hinge control and hamstring/glute strength, key for maintaining posture and generating power through impact.",2026-07-06,
G-04,Bench press (barbell),https://www.youtube.com/watch?v=BYKScL2sgCs,Alan Thrall,10.98,,"Lie on the bench with shoulder blades pulled back and down, and lower the bar under control to your chest before pressing it back up in a straight line. Keep your feet planted and a slight arch through your upper back for a stable base. It builds upper-body pressing strength that supports the trail-arm extension and overall upper-body power in the swing.",2026-07-06,Duration runs slightly over the preferred 2-8 min window (10:59) but is Alan Thrall's core bench technique tutorial; no shorter dedicated video found on his channel.
G-05,Seated DB shoulder press,https://www.youtube.com/watch?v=qEwKCR5JCog,ScottHermanFitness,2.40,,"Sit with back support, dumbbells at shoulder height, and press them overhead until your arms are extended without arching your lower back excessively. Lower with control back to the start position. This builds shoulder-pressing strength and stability overhead, supporting posture and shoulder resilience through the swing.",2026-07-06,"No suitable video found from Jeff Nippard's own channel or the shortlist channels for this specific exercise. Substituted a well-established, highly-viewed instructional channel (ScottHermanFitness) showing the exact movement. Confidence: Medium — channel not on approved list."
G-06,Barbell row,https://www.youtube.com/watch?v=RQU8wZPbioA,Alan Thrall,5.28,,"Hinge forward at the hips with a flat back, grip the bar just outside your legs, and pull it into your lower ribcage by driving your elbows back. Lower it under control without letting your back round. It trains the pulling strength and scapular control that support posture and the back muscles used throughout the swing.",2026-07-06,
G-07,Lat pulldown,https://www.youtube.com/watch?v=O94yEoGXtBY,Jeff Nippard,8.35,,"Sit tall with knees secured under the pad, grip the bar wider than shoulder-width, and pull it down to your upper chest by driving your elbows down and back. Control the return to a full stretch overhead. This builds lat and upper-back strength, supporting the wide, stable shoulder turn needed in the backswing.",2026-07-06,Runs marginally over the preferred 8-minute window (8:21).
G-08,Bulgarian split squat (DB),https://www.youtube.com/watch?v=-4LVK1crLSw,Squat University,8.30,,"Rest your rear foot on a bench behind you, holding dumbbells at your sides, and lower straight down until your front thigh is roughly parallel to the floor. Drive back up through your front heel, keeping your torso mostly vertical rather than leaning forward. It builds single-leg strength and balance that carry over to the weight shift and stability through the swing.",2026-07-06,Runs marginally over the preferred 8-minute window (8:18).
G-09,Walking lunge (DB),https://www.youtube.com/watch?v=_DLIS8SySzs,Colossus Fitness,2.90,,"Holding a dumbbell in each hand, step forward into a lunge and lower your rear knee toward the floor, then drive through your front heel to step into the next lunge. Keep your torso upright and your front knee tracking over your foot. It builds single-leg strength and hip stability that support balance and power transfer during the swing.",2026-07-06,"No suitable video found from Jeff Nippard's channel. Substituted a clear, well-produced instructional video from a smaller fitness channel (Colossus Fitness). Confidence: Medium — channel not on approved list."
G-10,Lateral lunge (DB),https://www.youtube.com/watch?v=n3dt9LSFdkc,Fit For Golf,2.02,,"Take a wide step to one side and sit your hips back and down over that leg, keeping the other leg straight with its foot flat on the floor. Push back explosively through the bent leg to return to standing. It builds frontal-plane strength and hip mobility that mirror the lateral weight shift in the golf swing.",2026-07-06,"Fit For Golf's video demonstrates the movement with a barbell rather than dumbbells; the movement pattern is identical, only the load implement differs."
