exerciseId,ladder,rung,rungName,videoUrl,channel,durationMin,timestamp,verifiedDate,notes
H-01,L1,1,Bodyweight squat,https://www.youtube.com/watch?v=9h9RnjOJFgg,Fit and 50,6.45,3:03,2026-07-06,"Verified via YouTube auto-chapter ""Unassisted Squat"" (3:03) plus scrubber preview frame showing a standing two-leg squat with no chair/support touch. Confidence: Medium-High."
H-01,L1,2,Tempo squat (3-1-X),https://www.youtube.com/watch?v=lweUB-4SF5w,Testosterone Nation,0.63,,2026-07-06,"Replacement source (original Fit and 50 video does not show a tempo/paused squat). ""Eccentric Squat"" — description and scrubber frames confirm a slow-controlled bodyweight squat. Does not explicitly demonstrate a distinct 1-second pause at depth or a deliberately fast concentric — description says ""slow and controlled"" throughout, not a 3-1-X protocol by name. Confidence: Medium."
H-01,L1,3,Split squat,https://www.youtube.com/watch?v=9h9RnjOJFgg,Fit and 50,6.45,4:35,2026-07-06,"Verified via YouTube auto-chapter ""Split Squat"" (4:35) plus scrubber preview frame showing a staggered stance. Confidence: Medium-High."
H-01,L1,4,Rear-foot-elevated split squat,https://www.youtube.com/watch?v=9h9RnjOJFgg,Fit and 50,6.45,5:07,2026-07-06,"Verified via YouTube auto-chapter ""Bulgarian Split Squat"" (5:07) — Bulgarian split squat is the standard name for the rear-foot-elevated split squat (back foot raised on a bench/chair behind); same movement, not a different exercise. Confidence: Medium-High."
H-01,L1,5,Jump squat,https://www.youtube.com/watch?v=A-cFYWvaHr0,Well+Good,3.03,,2026-07-06,"Replacement source (original Fit and 50 video ends at shrimp squat, no jump squat). ""How To Do A Squat Jump | The Right Way"" — trainer-led common-mistakes format; scrubber frame at 1:59 shows squat position with an explosive-jump coaching cue overlay. Confidence: Medium-High."
H-01,L1,6,Single-leg box squat (to chair),https://www.youtube.com/watch?v=bfLZAmA4RiI,Physio Plus Fitness,0.83,,2026-07-06,"Replacement source (original video's hardest variant is a shrimp squat, which does not use a box/chair, so it does not satisfy this rung). ""Single Leg Sit To Stand"" — scrubber frame at 0:18 shows controlled single-leg sit-to-stand off a bench. Confidence: Medium-High."
H-02,L2,1,Incline push-up,https://www.youtube.com/watch?v=J-R3fk2JqS4,The Bodyweight Process,8.18,1:50,2026-07-06,"Verified via an in-video title card reading ""Incline Push-Ups"" at 1:50 (chapter ""Progression #3""), confirmed visually via scrubber frame showing hands elevated on a raised surface. Confidence: High."
H-02,L2,2,Push-up,https://www.youtube.com/watch?v=IODxDxX7oi4,Calisthenicmovement,3.62,1:19,2026-07-06,"Replacement source (original 10-progression video's stages do not include a plain floor push-up by name; progression jumps from incline/negatives to weighted and ring variants). ""The Perfect Push Up | Do it right!"" — scrubber frame at 1:19 shows full-range floor push-up, straight body line. Confidence: High."
H-02,L2,3,Feet-elevated push-up,https://www.youtube.com/watch?v=xoX1nSewXgA,Danny Nichols Fitness,0.6,,2026-07-06,"Replacement source (not covered in original video). ""How To Do A Feet Elevated Push Up"" — in-video title card at 0:23 reads ""Feet Elevated Push-Up"" and shows feet raised on a box. Note: this channel's written description is a generic/mismatched template (mentions a barbell, which is irrelevant here) — description text is not trustworthy, but the in-video visual title card and frame are. Confidence: Medium."
H-02,L2,4,Archer push-up,https://www.youtube.com/watch?v=eZNvTorsU6I,The Calisthenics Project,4.47,1:11,2026-07-06,"Replacement source (original video's archer variant is performed on gymnastic rings — ""Ring Archer Push-Ups"" — a harder, different-equipment movement to the library's floor-based archer push-up). ""How to Master the Archer Push-Up"" — scrubber frame at 1:11 shows a floor-based wide-hand stance consistent with archer push-up. Confidence: Medium-High."
H-02,L2,5,Plyo push-up,https://www.youtube.com/watch?v=GR0ZL7f7u18,Mike | J2FIT Strength & Conditioning,0.77,,2026-07-06,"Replacement source (not covered in original video). ""Plyometric Push Up Tutorial"" — scrubber frame at 0:32 shows an elevated/explosive push-up position. Confidence: Medium-High."
H-03,L3,1,Glute bridge,https://www.youtube.com/watch?v=7vTnfE6oiXk,Physio REHAB (Tim Keeley),12.37,0:53,2026-07-06,"Verified via scrubber frames at 0:53 and 3:56 showing a two-foot bridge set-up and top position (straight line, hips lifted). Confidence: High."
H-03,L3,2,Glute bridge march,https://www.youtube.com/watch?v=7vTnfE6oiXk,Physio REHAB (Tim Keeley),12.37,5:59,2026-07-06,"Verified via an in-video on-screen cue reading ""FLOAT ONE LEG OUT"" at 5:59, with hips held high while one foot lifts — matches the marching pattern exactly. Confidence: High."
H-03,L3,3,Single-leg glute bridge,https://www.youtube.com/watch?v=7vTnfE6oiXk,Physio REHAB (Tim Keeley),12.37,8:01,2026-07-06,Verified via scrubber frames between 8:01 and 9:02 showing one leg raised/extended while bridging on the other. Confidence: High.
H-03,L3,4,"Single-leg bridge, 3 s pause",https://www.youtube.com/watch?v=x9qUThV02no,LundtG,0.65,,2026-07-06,"Replacement source (main video does not separately demonstrate a held pause variant). ""Single Leg Bridge Hold"" — small channel (401 subscribers), no written description, but title and scrubber frame (0:14, one leg extended, hips held) match this rung directly. Confidence: Medium."
H-04,L4,1,Side plank from knees,https://www.youtube.com/watch?v=aorw__LL-DA,Dr. Srikanth Nithyanandam (Family & Sports MD),5.45,2:45,2026-07-06,"Verified via YouTube auto-chapter ""Level 2 Kneeling Side Plank"" (2:45); scrubber frame at 2:52 shows knees on the floor as the base with hips lifted. Confidence: High."
H-04,L4,2,Full side plank (20 s),https://www.youtube.com/watch?v=aorw__LL-DA,Dr. Srikanth Nithyanandam (Family & Sports MD),5.45,4:03,2026-07-06,"Verified via YouTube auto-chapter ""Level 4 Regular Side Plank"" (4:03); scrubber frame at 4:05 shows a straight-leg side plank held statically. Per the verification brief's special rule, this same clip also satisfies rung 3 (duration is a prescription, not a movement change). Confidence: High."
H-04,L4,3,Full side plank (40 s),https://www.youtube.com/watch?v=aorw__LL-DA,Dr. Srikanth Nithyanandam (Family & Sports MD),5.45,4:03,2026-07-06,"Same clip as rung 2 (Level 4 Regular Side Plank, 4:03) — per the brief, a correct full side-plank video covers rungs 2 and 3 together since the only difference is hold duration, which is a prescription not sourced separately. Confidence: High."
H-04,L4,4,Side plank + reach-through,https://www.youtube.com/watch?v=TfLt8orAiiQ,MoveMend Rehab and Training,0.25,,2026-07-06,"Replacement source (original video's hardest level is a static regular side plank; no reach-through/rotation shown). ""Side Plank Thread the Needle"" — dedicated rehab-training channel; scrubber frame at 0:05 confirms full side plank set-up consistent with the reach-through movement. Confidence: Medium-High."
H-04,L4,5,Side plank leg lift,https://www.youtube.com/watch?v=uCPYhYDGJ5Q,Celanese Chiropractic Health & Performance,1.03,,2026-07-06,"Replacement source (not covered in original video). ""Side Plank with Hip Abduction"" — scrubber frame at 0:28 clearly shows a full side plank with the top leg raised. Confidence: High."
H-09,L5,1,Low-amplitude hop-and-stick,,,,,2026-07-06,"BLANK — no adequate video found. The library specifies a small TWO-FOOT hop with a slight (~45 degrees or less) turn. Every candidate located under ""45 degree hop and stick"" search terms (e.g. Zac Cupples ""45 Degree Hops - Stick""; Depth Training and Physiotherapy Waterloo ""45 Degree Bound to Vertical Jump"") is a SINGLE-LEG bounding drill, not a two-foot hop, and was rejected as the wrong movement rather than forced in. Recommend a fresh manual search or filming a reference clip. Confidence: N/A (rung not covered)."
H-09,L5,2,90° hop-and-stick,https://www.youtube.com/watch?v=0aZres4LbZI,Theory of Motion Exercise Library,0.18,,2026-07-06,"Replacement source — the previous pass's candidate (Simple Speed Coach ""Hop Rotations"") is a SINGLE-LEG hop and does not match this rung's explicit two-foot requirement; discarded as a movement mismatch, not carried forward. ""Squat Jump - 90 Degree Turns"" is a clean two-foot exercise-library reference clip. Very short (11s) single-rep demo. Confidence: Medium."
H-09,L5,3,180° hop,https://www.youtube.com/watch?v=xTjBP85moMo,Live Lean TV Daily Exercises,0.63,,2026-07-06,"""How To Do A 180 Degree Jump Squat And Turn"" — step-by-step description explicitly matches a two-foot half-turn jump with a controlled landing and reset in the opposite direction. Confidence: Medium-High."
H-09,L5,4,Continuous 90° hops,https://www.youtube.com/watch?v=HGYrwx2MDZg,Depth Training and Physiotherapy Waterloo,0.1,,2026-07-06,"""1/4 Jump Squats - Rhythmic"" from a physiotherapy clinic's exercise library — title matches continuous quarter-turn two-foot hops directly. Very short clip (6s); scrubber preview was overexposed so the movement could not be independently confirmed frame-by-frame, but the source and title are unambiguous. Confidence: Medium."
